file_path,ll_path,cve_id,vuln_type,source
snippet4\non-vulnerable\.rs\tls.rs,snippet4\non-vulnerable\.ll\tls.ll,GHSA-2cvj-g5r5-jrrg,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\mod.rs,snippet4\non-vulnerable\.ll\mod.ll,GHSA-2cvj-g5r5-jrrg,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\ready_v.rs,snippet4\vulnerable\.ll\ready_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\async_seek_v.rs,snippet4\vulnerable\.ll\async_seek_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\async_write_v.rs,snippet4\vulnerable\.ll\async_write_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_ptr_v.rs,snippet4\vulnerable\.ll\atomic_ptr_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_u16_v.rs,snippet4\vulnerable\.ll\atomic_u16_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_u32_v.rs,snippet4\vulnerable\.ll\atomic_u32_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_u8_v.rs,snippet4\vulnerable\.ll\atomic_u8_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_usize_v.rs,snippet4\vulnerable\.ll\atomic_usize_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\mutex_v.rs,snippet4\vulnerable\.ll\mutex_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\unsafe_cell_v.rs,snippet4\vulnerable\.ll\unsafe_cell_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\loom_v.rs,snippet4\vulnerable\.ll\loom_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\ready_v.rs,snippet4\vulnerable\.ll\ready_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\thread_local_v.rs,snippet4\vulnerable\.ll\thread_local_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\kill_v.rs,snippet4\vulnerable\.ll\kill_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\reusable_box_v.rs,snippet4\vulnerable\.ll\reusable_box_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\test_sleep_v.rs,snippet4\vulnerable\.ll\test_sleep_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\bit_v.rs,snippet4\vulnerable\.ll\bit_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\error_v.rs,snippet4\vulnerable\.ll\error_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\pad_v.rs,snippet4\vulnerable\.ll\pad_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\rand_v.rs,snippet4\vulnerable\.ll\rand_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\wake_v.rs,snippet4\vulnerable\.ll\wake_v.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\ready.rs,snippet4\non-vulnerable\.ll\ready.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\async_seek.rs,snippet4\non-vulnerable\.ll\async_seek.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\async_write.rs,snippet4\non-vulnerable\.ll\async_write.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\atomic_ptr.rs,snippet4\non-vulnerable\.ll\atomic_ptr.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\atomic_u16.rs,snippet4\non-vulnerable\.ll\atomic_u16.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\atomic_u32.rs,snippet4\non-vulnerable\.ll\atomic_u32.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\atomic_u8.rs,snippet4\non-vulnerable\.ll\atomic_u8.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\atomic_usize.rs,snippet4\non-vulnerable\.ll\atomic_usize.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\mutex.rs,snippet4\non-vulnerable\.ll\mutex.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\unsafe_cell.rs,snippet4\non-vulnerable\.ll\unsafe_cell.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\loom.rs,snippet4\non-vulnerable\.ll\loom.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\ready.rs,snippet4\non-vulnerable\.ll\ready.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\thread_local.rs,snippet4\non-vulnerable\.ll\thread_local.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\kill.rs,snippet4\non-vulnerable\.ll\kill.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\reusable_box.rs,snippet4\non-vulnerable\.ll\reusable_box.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\test_sleep.rs,snippet4\non-vulnerable\.ll\test_sleep.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\bit.rs,snippet4\non-vulnerable\.ll\bit.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\error.rs,snippet4\non-vulnerable\.ll\error.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\pad.rs,snippet4\non-vulnerable\.ll\pad.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\rand.rs,snippet4\non-vulnerable\.ll\rand.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\wake.rs,snippet4\non-vulnerable\.ll\wake.ll,CVE-2021-38191,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\macros_v.rs,snippet4\vulnerable\.ll\macros_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\counter_v.rs,snippet4\vulnerable\.ll\counter_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\lev_distance_v.rs,snippet4\vulnerable\.ll\lev_distance_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\profile_v.rs,snippet4\vulnerable\.ll\profile_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\queue_v.rs,snippet4\vulnerable\.ll\queue_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\main_v.rs,snippet4\vulnerable\.ll\main_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\main_v.rs,snippet4\vulnerable\.ll\main_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\case_v.rs,snippet4\vulnerable\.ll\case_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\lib_v.rs,snippet4\vulnerable\.ll\lib_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\lib_v.rs,snippet4\vulnerable\.ll\lib_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\lib_v.rs,snippet4\vulnerable\.ll\lib_v.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\macros.rs,snippet4\non-vulnerable\.ll\macros.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\counter.rs,snippet4\non-vulnerable\.ll\counter.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\io.rs,snippet4\non-vulnerable\.ll\io.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\lev_distance.rs,snippet4\non-vulnerable\.ll\lev_distance.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\queue.rs,snippet4\non-vulnerable\.ll\queue.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\main.rs,snippet4\non-vulnerable\.ll\main.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\main.rs,snippet4\non-vulnerable\.ll\main.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\case.rs,snippet4\non-vulnerable\.ll\case.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\lib.rs,snippet4\non-vulnerable\.ll\lib.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\lib.rs,snippet4\non-vulnerable\.ll\lib.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\non-vulnerable\.rs\lib.rs,snippet4\non-vulnerable\.ll\lib.ll,CVE-2022-36114,unspecified,https://crates.io/crates/cargo
snippet4\vulnerable\.rs\filesystem_v.rs,snippet4\vulnerable\.ll\filesystem_v.ll,GHSA-2q97-m5rc-p3gp,unspecified,https://crates.io/crates/cosmwasm-vm
snippet4\vulnerable\.rs\size_v.rs,snippet4\vulnerable\.ll\size_v.ll,GHSA-2q97-m5rc-p3gp,unspecified,https://crates.io/crates/cosmwasm-vm
snippet4\non-vulnerable\.rs\filesystem.rs,snippet4\non-vulnerable\.ll\filesystem.ll,GHSA-2q97-m5rc-p3gp,unspecified,https://crates.io/crates/cosmwasm-vm
snippet4\non-vulnerable\.rs\size.rs,snippet4\non-vulnerable\.ll\size.ll,GHSA-2q97-m5rc-p3gp,unspecified,https://crates.io/crates/cosmwasm-vm
snippet4\vulnerable\.rs\framework_v.rs,snippet4\vulnerable\.ll\framework_v.ll,CVE-2023-46115,unspecified,https://crates.io/crates/tauri-cli
snippet4\non-vulnerable\.rs\framework.rs,snippet4\non-vulnerable\.ll\framework.ll,CVE-2023-46115,unspecified,https://crates.io/crates/tauri-cli
snippet4\vulnerable\.rs\error_v.rs,snippet4\vulnerable\.ll\error_v.ll,CVE-2018-21000,unspecified,https://crates.io/crates/safe-transmute
snippet4\non-vulnerable\.rs\error.rs,snippet4\non-vulnerable\.ll\error.ll,CVE-2018-21000,unspecified,https://crates.io/crates/safe-transmute
snippet4\vulnerable\.rs\macros_v.rs,snippet4\vulnerable\.ll\macros_v.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\vulnerable\.rs\intrcheck_v.rs,snippet4\vulnerable\.ll\intrcheck_v.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\vulnerable\.rs\pyarena_v.rs,snippet4\vulnerable\.ll\pyarena_v.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\vulnerable\.rs\pydebug_v.rs,snippet4\vulnerable\.ll\pydebug_v.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\vulnerable\.rs\typeslots_v.rs,snippet4\vulnerable\.ll\typeslots_v.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\vulnerable\.rs\internal_tricks_v.rs,snippet4\vulnerable\.ll\internal_tricks_v.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\non-vulnerable\.rs\macros.rs,snippet4\non-vulnerable\.ll\macros.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\non-vulnerable\.rs\intrcheck.rs,snippet4\non-vulnerable\.ll\intrcheck.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\non-vulnerable\.rs\pyarena.rs,snippet4\non-vulnerable\.ll\pyarena.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\non-vulnerable\.rs\pydebug.rs,snippet4\non-vulnerable\.ll\pydebug.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\non-vulnerable\.rs\typeslots.rs,snippet4\non-vulnerable\.ll\typeslots.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\non-vulnerable\.rs\internal_tricks.rs,snippet4\non-vulnerable\.ll\internal_tricks.ll,CVE-2020-35917,unspecified,https://crates.io/crates/pyo3
snippet4\vulnerable\.rs\export_v.rs,snippet4\vulnerable\.ll\export_v.ll,GHSA-3633-g6mg-p6qq,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\tls_v.rs,snippet4\vulnerable\.ll\tls_v.ll,GHSA-3633-g6mg-p6qq,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\mod_v.rs,snippet4\vulnerable\.ll\mod_v.ll,GHSA-3633-g6mg-p6qq,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\export.rs,snippet4\non-vulnerable\.ll\export.ll,GHSA-3633-g6mg-p6qq,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\tls.rs,snippet4\non-vulnerable\.ll\tls.ll,GHSA-3633-g6mg-p6qq,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\mod.rs,snippet4\non-vulnerable\.ll\mod.ll,GHSA-3633-g6mg-p6qq,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\restrict.rs,snippet4\non-vulnerable\.ll\restrict.ll,CVE-2025-25188,unspecified,https://crates.io/crates/hickory-proto
snippet4\vulnerable\.rs\export_v.rs,snippet4\vulnerable\.ll\export_v.ll,GHSA-3824-qmfq-2qv7,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\tls_v.rs,snippet4\vulnerable\.ll\tls_v.ll,GHSA-3824-qmfq-2qv7,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\mod_v.rs,snippet4\vulnerable\.ll\mod_v.ll,GHSA-3824-qmfq-2qv7,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\export.rs,snippet4\non-vulnerable\.ll\export.ll,GHSA-3824-qmfq-2qv7,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\tls.rs,snippet4\non-vulnerable\.ll\tls.ll,GHSA-3824-qmfq-2qv7,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\mod.rs,snippet4\non-vulnerable\.ll\mod.ll,GHSA-3824-qmfq-2qv7,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\tests_v.rs,snippet4\vulnerable\.ll\tests_v.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\vulnerable\.rs\embed_ctx_v.rs,snippet4\vulnerable\.ll\embed_ctx_v.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\vulnerable\.rs\hostcall_macros_v.rs,snippet4\vulnerable\.ll\hostcall_macros_v.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\vulnerable\.rs\sparse_page_data_v.rs,snippet4\vulnerable\.ll\sparse_page_data_v.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\vulnerable\.rs\mod_v.rs,snippet4\vulnerable\.ll\mod_v.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\non-vulnerable\.rs\tests.rs,snippet4\non-vulnerable\.ll\tests.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\non-vulnerable\.rs\embed_ctx.rs,snippet4\non-vulnerable\.ll\embed_ctx.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\non-vulnerable\.rs\hostcall_macros.rs,snippet4\non-vulnerable\.ll\hostcall_macros.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\non-vulnerable\.rs\sparse_page_data.rs,snippet4\non-vulnerable\.ll\sparse_page_data.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\non-vulnerable\.rs\mod.rs,snippet4\non-vulnerable\.ll\mod.ll,CVE-2020-35859,unspecified,https://crates.io/crates/lucet-runtime-internals
snippet4\vulnerable\.rs\chunks_v.rs,snippet4\vulnerable\.ll\chunks_v.ll,CVE-2024-32984,unspecified,https://crates.io/crates/yamux
snippet4\non-vulnerable\.rs\chunks.rs,snippet4\non-vulnerable\.ll\chunks.ll,CVE-2024-32984,unspecified,https://crates.io/crates/yamux
snippet4\vulnerable\.rs\macros_v.rs,snippet4\vulnerable\.ll\macros_v.ll,GHSA-3gxf-9r58-2ghg,unspecified,https://crates.io/crates/openssl
snippet4\non-vulnerable\.rs\macros.rs,snippet4\non-vulnerable\.ll\macros.ll,GHSA-3gxf-9r58-2ghg,unspecified,https://crates.io/crates/openssl
snippet4\vulnerable\.rs\types_v.rs,snippet4\vulnerable\.ll\types_v.ll,CVE-2024-4435,unspecified,https://crates.io/crates/ic-stable-structures
snippet4\non-vulnerable\.rs\types.rs,snippet4\non-vulnerable\.ll\types.ll,CVE-2024-4435,unspecified,https://crates.io/crates/ic-stable-structures
snippet4\vulnerable\.rs\scalar_v.rs,snippet4\vulnerable\.ll\scalar_v.ll,CVE-2021-38190,unspecified,https://crates.io/crates/nalgebra
snippet4\non-vulnerable\.rs\helper.rs,snippet4\non-vulnerable\.ll\helper.ll,CVE-2021-38190,unspecified,https://crates.io/crates/nalgebra
snippet4\non-vulnerable\.rs\scalar.rs,snippet4\non-vulnerable\.ll\scalar.ll,CVE-2021-38190,unspecified,https://crates.io/crates/nalgebra
snippet4\non-vulnerable\.rs\mod.rs,snippet4\non-vulnerable\.ll\mod.ll,CVE-2021-38190,unspecified,https://crates.io/crates/nalgebra
snippet4\vulnerable\.rs\unsafe_self_cell_v.rs,snippet4\vulnerable\.ll\unsafe_self_cell_v.ll,GHSA-48m6-wm5p-rr6h,unspecified,https://crates.io/crates/self_cell
snippet4\non-vulnerable\.rs\unsafe_self_cell.rs,snippet4\non-vulnerable\.ll\unsafe_self_cell.ll,GHSA-48m6-wm5p-rr6h,unspecified,https://crates.io/crates/self_cell
snippet4\vulnerable\.rs\macros_v.rs,snippet4\vulnerable\.ll\macros_v.ll,GHSA-4fcv-w3qc-ppgg,unspecified,https://crates.io/crates/openssl
snippet4\non-vulnerable\.rs\macros.rs,snippet4\non-vulnerable\.ll\macros.ll,GHSA-4fcv-w3qc-ppgg,unspecified,https://crates.io/crates/openssl
snippet4\vulnerable\.rs\extensions_v.rs,snippet4\vulnerable\.ll\extensions_v.ll,CVE-2024-47609,unspecified,https://crates.io/crates/tonic
snippet4\vulnerable\.rs\macros_v.rs,snippet4\vulnerable\.ll\macros_v.ll,CVE-2024-47609,unspecified,https://crates.io/crates/tonic
snippet4\vulnerable\.rs\tls_v.rs,snippet4\vulnerable\.ll\tls_v.ll,CVE-2024-47609,unspecified,https://crates.io/crates/tonic
snippet4\non-vulnerable\.rs\extensions.rs,snippet4\non-vulnerable\.ll\extensions.ll,CVE-2024-47609,unspecified,https://crates.io/crates/tonic
snippet4\non-vulnerable\.rs\macros.rs,snippet4\non-vulnerable\.ll\macros.ll,CVE-2024-47609,unspecified,https://crates.io/crates/tonic
snippet4\non-vulnerable\.rs\tls.rs,snippet4\non-vulnerable\.ll\tls.ll,CVE-2024-47609,unspecified,https://crates.io/crates/tonic
snippet4\vulnerable\.rs\async_seek_v.rs,snippet4\vulnerable\.ll\async_seek_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\async_write_v.rs,snippet4\vulnerable\.ll\async_write_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\read_buf_v.rs,snippet4\vulnerable\.ll\read_buf_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_ptr_v.rs,snippet4\vulnerable\.ll\atomic_ptr_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_u16_v.rs,snippet4\vulnerable\.ll\atomic_u16_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_u32_v.rs,snippet4\vulnerable\.ll\atomic_u32_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_u8_v.rs,snippet4\vulnerable\.ll\atomic_u8_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\atomic_usize_v.rs,snippet4\vulnerable\.ll\atomic_usize_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\mutex_v.rs,snippet4\vulnerable\.ll\mutex_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\unsafe_cell_v.rs,snippet4\vulnerable\.ll\unsafe_cell_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\loom_v.rs,snippet4\vulnerable\.ll\loom_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\ready_v.rs,snippet4\vulnerable\.ll\ready_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\thread_local_v.rs,snippet4\vulnerable\.ll\thread_local_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\kill_v.rs,snippet4\vulnerable\.ll\kill_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\reusable_box_v.rs,snippet4\vulnerable\.ll\reusable_box_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\yield_now_v.rs,snippet4\vulnerable\.ll\yield_now_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\test_sleep_v.rs,snippet4\vulnerable\.ll\test_sleep_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\bit_v.rs,snippet4\vulnerable\.ll\bit_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\error_v.rs,snippet4\vulnerable\.ll\error_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\pad_v.rs,snippet4\vulnerable\.ll\pad_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\rand_v.rs,snippet4\vulnerable\.ll\rand_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\vulnerable\.rs\wake_list_v.rs,snippet4\vulnerable\.ll\wake_list_v.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\async_seek.rs,snippet4\non-vulnerable\.ll\async_seek.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\async_write.rs,snippet4\non-vulnerable\.ll\async_write.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\read_buf.rs,snippet4\non-vulnerable\.ll\read_buf.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
snippet4\non-vulnerable\.rs\atomic_u16.rs,snippet4\non-vulnerable\.ll\atomic_u16.ll,GHSA-4q83-7cq4-p6wg,unspecified,https://crates.io/crates/tokio
